Tithi and Nakṣatra Times;;;;;;Rohiṇī  (< Kṛttikā) = Jayantī Md;;;;;;;;;A: Ahorātra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
Source:;;Madan Gupta Panjika;;;;Punarvasu (< Ārdrā) = Jayā;;;;;;;;;K: Kṣaya;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
Year:;;2020–21;;;;Puṣyā Puṣyā (< Punarvasu) = Pāpa-nāśinī;;;;;;;;;VD: Vaiṣṇava Month Day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
Location:;;Kolkata, India;;;;Śravaṇā (< Uttarāṣāḍhā) = Vijayā;;;;;;;;;RT: Relative tithi;;;;;;;;;Location for conversion:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Sign:;;;;;;;;;;;;;;;;;;;;;Difference in UTC:;;2:30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;UTC:;?;;;;;;;;;;;;;;;;;;;;;UTC:;?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mās;Pak;Tithi;Start;End;Date;Mon;Year;A;K;Srise;Sset;Date;Mon;Year;VD;RT;Nakṣatra;Start;End;Date;Mon;Year;Day;Tithi;Start;End;Date;Mon;Year;Day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;;Pañchamī;;6:30;11;Apr;2023;;;5:25;;11;Apr;2023;5;5;;;;;;;;Pañchamī;;4:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Śaṣṭhī;;4:38;12;Apr;2023;;K;5:25;;12;Apr;2023;6;7;;;;;;;;Śaṣṭhī;;2:08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Saptamī;;2:30;13;Apr;2023;;;5:24;;13;Apr;2023;7;8;;;;;;;;Saptamī;;0:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Aṣṭamī;;0:12;14;Apr;2023;;;5:23;;14;Apr;2023;8;9;;;;;;;;Aṣṭamī;;21:42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Navamī;;21:49;14;Apr;2023;;;;;15;Apr;2023;9;10;;;;;;;;Navamī;;19:19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Start Beng;;Daśamī;;19:22;15;Apr;2023;;;5:21;;15;Apr;2023;10;11;;;;;;;;Daśamī;;16:52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Ekādaśī;19:22;17:00;16;Apr;2023;;;5:21;;16;Apr;2023;11;12;;;;;;;;Ekādaśī;16:52;14:30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Dvādaśī;17:00;14:46;17;Apr;2023;;;5:20;17:55;17;Apr;2023;12;13;X;;;;;;;Dvādaśī;14:30;12:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Trayodaśī;14:46;12:46;18;Apr;2023;;;5:19;;18;Apr;2023;13;14;;;;;;;;Trayodaśī;12:15;10:16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Chaturdaśī;;11:02;19;Apr;2023;;;5:18;;19;Apr;2023;14;14;;;;;;;;Chaturdaśī;;8:32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
