trivikram;chaturti;G;;Disappearance of <a href="http://scsmath.com/events/calendar_events/05_GauravaGiriMj-ParamanandaVidyaratna.html">Srila Bhakti Gaurava Giri Maharaj</a> (Sripad Paramananda Vidyaratna Prabhu).;День ухода Шрилы Бхакти Гауравы Гири Махараджа (Шрипада Парамананды Видьяратны Прабху).
trivikram;dashami;G;ganga-puja;Dashahara. <a href="http://scsmath.com/events/calendar_events/06_GangaPuja_BaladevVidyabhusan.html">Sri Ganga Puja. Appearance of Sri Ganga Mata Goswamini. Disappearance of Srila Baladev Vidyabhushan Prabhu.</a>;Дашахара Шри Ганга Пуджа. День явления Шри Гангаматы Госвамини. День ухода Шрилы Баладева Видьябхушана Прабху. День явления Шрипада Бхакти Виджая Нрисимхи Махараджа
trivikram;trayodashi;G;;<a href="http://scsmath.com/events/calendar_events/06_PanihatiFestival.html">Grand festival of Srila Raghunath Das Goswami at Sripat Panihati.</a>;Большой фестиваль Шрилы Рагхунатха Даса Госвами в Шрипат Панихати.
trivikram;purnima;G;snana-yatra;Disappearance of <a href="http://scsmath.com/events/calendar_events/05_MukundaDatta_SridharPandit.html">Srila Mukunda Datta and Srila Sridhar Pandit.</a>;День ухода Шрилы Мукунды Датты. День ухода Шрилы Шридхара Пандита.
vaman;pratipad;K;;Disappearance of <a href="http://scsmath.com/events/calendar_events/06_ShyamanandaPrabhu.html">Srila Shyamananda Prabhu</a> and <a href="http://scsmath.com/events/calendar_events/06_RsabhdevPrabhu.html">Sripad Rishabdev Das Adhikari.</a>;День ухода Шрилы Шьямананды Прабху. День ухода Шрипада Ришабхадева даса Адхикари.
vaman;dvitiya;K;;Disappearance of Sri Gaurahari Bhakti Sampad Prabhu.;День ухода Шри Гаурахари Бхакти Сампада Прабху.
vaman;panchami;K;;Appearance of <a href="http://scsmath.com/events/calendar_events/06_VakresvaraPandit.html">Srila Vakreshvar Pandit.</a>;День явления Шрилы Вакрешвара Пандита.
vaman;ekadashi;K;;<a href="http://scsmath.com/events/calendar_events/06_RamaDevi.html">Disappearance of Sriyukta Rama Devi.</a>;День ухода Шриюкты Рамы Деви.
vaman;amavasya;K;;<a href="http://scsmath.com/events/calendar_events/06_GadadharPandit-Bhaktivinod-disap.html"><b>Disappearance of Srila Gadadhar Pandit </b>and <b>Srila Sachchidananda Bhakti Vinod Thakur.</b></a>;День ухода <b>Шрилы Гададхара Пандита Госвами</b>. День ухода <b>Шрилы Сат-чит-ананды Бхактивинода Тхакура</b>.
vaman;dvitiya;G;ratha-yatra;<a href="http://scsmath.com/events/calendar_events/06_Rathayatra.html">Disappearance of Srila Svarup Damodar Goswami Prabhu.</a>;День ухода Шрилы Сварупа Дамодара Госвами.
