masa;paksha;tithi;start;end;start_sunrise;next_day_sunrise;sunset;date;arunoday;type;nakshatra_name;nakshatra_start;nakshatra_end
Madhusūdan;G;Pañchamī;2021-05-16 04:05;2021-05-17 04:57;2021-05-16 04:19;2021-05-17 04:16;2021-05-16 21:32;2021-05-16;2021-05-16 02:43;sampurna;;;
Madhusūdan;G;Śaṣṭhī;2021-05-17 04:57;2021-05-18 05:18;2021-05-17 04:16;2021-05-18 04:14;2021-05-17 21:35;2021-05-18;2021-05-18 02:38;shuddha;;;
Madhusūdan;G;Saptamī;2021-05-18 05:18;2021-05-19 05:08;2021-05-18 04:14;2021-05-19 04:12;2021-05-18 21:37;2021-05-19;2021-05-19 02:36;shuddha;;;
Madhusūdan;G;Aṣṭamī;2021-05-19 05:08;2021-05-20 04:29;2021-05-19 04:12;2021-05-20 04:10;2021-05-19 21:39;2021-05-20;2021-05-20 02:34;shuddha;;;
Madhusūdan;G;Navamī;2021-05-20 04:29;2021-05-21 03:22;2021-05-20 04:10;2021-05-21 04:08;2021-05-20 21:41;2021-05-21;2021-05-21 02:32;kshaya;;;
Madhusūdan;G;Daśamī;2021-05-21 03:22;2021-05-22 01:52;2021-05-21 04:08;2021-05-22 04:06;2021-05-21 21:44;2021-05-21;2021-05-21 02:32;viddha;;;
Madhusūdan;G;Ekādaśī;2021-05-22 01:52;2021-05-23 00:01;2021-05-22 04:06;2021-05-23 04:04;2021-05-22 21:46;2021-05-22;2021-05-22 02:30;shuddha;;;
Madhusūdan;G;Dvādaśī;2021-05-23 00:01;2021-05-23 21:54;2021-05-23 04:04;2021-05-24 04:02;2021-05-23 21:48;2021-05-23;2021-05-23 02:28;shuddha;;;
Madhusūdan;G;Trayodaśī;2021-05-23 21:54;2021-05-24 19:36;2021-05-23 04:04;2021-05-24 04:02;2021-05-23 21:48;2021-05-24;2021-05-24 02:26;shuddha;;;
Madhusūdan;G;Chaturdaśī;2021-05-24 19:36;2021-05-25 17:11;2021-05-24 04:02;2021-05-25 04:00;2021-05-24 21:50;2021-05-25;2021-05-25 02:24;shuddha;;;
Madhusūdan;G;Pūrṇimā;2021-05-25 17:11;2021-05-26 14:44;2021-05-25 04:00;2021-05-26 03:58;2021-05-25 21:52;2021-05-26;2021-05-26 02:22;shuddha;;;
Trivikram;K;Pratipad;2021-05-26 14:44;2021-05-27 12:19;2021-05-26 03:58;2021-05-27 03:56;2021-05-26 21:54;2021-05-27;2021-05-27 02:20;shuddha;;;
Trivikram;K;Dvitīya;2021-05-27 12:19;2021-05-28 10:02;2021-05-27 03:56;2021-05-28 03:54;2021-05-27 21:56;2021-05-28;2021-05-28 02:18;shuddha;;;
Trivikram;K;Tṛtīya;2021-05-28 10:02;2021-05-29 07:55;2021-05-28 03:54;2021-05-29 03:53;2021-05-28 21:58;2021-05-29;2021-05-29 02:17;shuddha;;;
Trivikram;K;Chaturthī;2021-05-29 07:55;2021-05-30 06:05;2021-05-29 03:53;2021-05-30 03:51;2021-05-29 22:00;2021-05-30;2021-05-30 02:15;shuddha;;;
Trivikram;K;Pañchamī;2021-05-30 06:05;2021-05-31 04:36;2021-05-30 03:51;2021-05-31 03:50;2021-05-30 22:02;2021-05-31;2021-05-31 02:14;shuddha;;;
