masa;paksha;tithi;start;end;start_sunrise;next_day_sunrise;sunset;date;arunoday;type;nakshatra_name;nakshatra_start;nakshatra_end
Trivikram;G;Chaturthī;2021-06-13 19:23;2021-06-14 19:45;2021-06-13 04:55;2021-06-14 04:56;;2021-06-14;2021-06-14 03:20;shuddha;;;
Trivikram;G;Pañchamī;2021-06-14 19:45;2021-06-15 19:36;2021-06-14 04:56;2021-06-15 04:56;;2021-06-15;2021-06-15 03:20;shuddha;;;
Trivikram;G;Śaṣṭhī;2021-06-15 19:36;2021-06-16 18:58;2021-06-15 04:56;2021-06-16 04:56;;2021-06-16;2021-06-16 03:20;shuddha;;;
Trivikram;G;Saptamī;2021-06-16 18:58;2021-06-17 17:52;2021-06-16 04:56;2021-06-17 04:56;;2021-06-17;2021-06-17 03:20;shuddha;;;
Trivikram;G;Aṣṭamī;2021-06-17 17:52;2021-06-18 16:21;2021-06-17 04:56;2021-06-18 04:55;;2021-06-18;2021-06-18 03:19;shuddha;;;
Trivikram;G;Navamī;2021-06-18 16:21;2021-06-19 14:30;2021-06-18 04:55;2021-06-19 04:56;;2021-06-19;2021-06-19 03:20;shuddha;;;
Trivikram;G;Daśamī;2021-06-19 14:30;2021-06-20 12:24;2021-06-19 04:56;2021-06-20 04:56;;2021-06-20;2021-06-20 03:20;shuddha;;;
Trivikram;G;Ekādaśī;2021-06-20 12:24;2021-06-21 10:05;2021-06-20 04:56;2021-06-21 04:56;;2021-06-21;2021-06-21 03:20;shuddha;;;
Trivikram;G;Dvādaśī;2021-06-21 10:05;2021-06-22 07:39;2021-06-21 04:56;2021-06-22 04:56;2021-06-21 18:23;2021-06-22;2021-06-22 03:20;shuddha;;;
Trivikram;G;Trayodaśī;2021-06-22 07:39;2021-06-23 05:10;2021-06-22 04:56;2021-06-23 04:56;2021-06-22 18:24;2021-06-23;2021-06-23 03:20;shuddha;;;
Trivikram;G;Chaturdaśī;2021-06-23 05:10;2021-06-24 02:44;2021-06-23 04:56;2021-06-24 04:56;;2021-06-24;2021-06-24 03:20;kshaya;;;
Trivikram;G;Pūrṇimā;2021-06-24 02:44;2021-06-25 00:26;2021-06-24 04:56;2021-06-25 04:56;;2021-06-24;2021-06-24 03:20;shuddha;;;
Vāman;K;Pratipad;2021-06-25 00:26;2021-06-25 22:18;2021-06-25 04:56;2021-06-26 04:57;;2021-06-25;2021-06-25 03:20;shuddha;;;
Vāman;K;Dvitīya;2021-06-25 22:18;2021-06-26 20:27;2021-06-25 04:56;2021-06-26 04:57;;2021-06-26;2021-06-26 03:21;shuddha;;;
Vāman;K;Tṛtīya;2021-06-26 20:27;2021-06-27 18:56;2021-06-26 04:57;2021-06-27 04:57;;2021-06-27;2021-06-27 03:21;shuddha;;;
Vāman;K;Chaturthī;2021-06-27 18:56;2021-06-28 17:49;2021-06-27 04:57;2021-06-28 04:58;;2021-06-28;2021-06-28 03:22;shuddha;;;
Vāman;K;Pañchamī;2021-06-28 17:49;2021-06-29 17:08;2021-06-28 04:58;2021-06-29 04:58;;2021-06-29;2021-06-29 03:22;shuddha;;;
Vāman;K;Śaṣṭhī;2021-06-29 17:08;2021-06-30 16:58;2021-06-29 04:58;2021-06-30 04:58;;2021-06-30;2021-06-30 03:22;shuddha;;;
Vāman;K;Saptamī;2021-06-30 16:58;2021-07-01 17:19;2021-06-30 04:58;2021-07-01 04:59;;2021-07-01;2021-07-01 03:23;shuddha;;;
Vāman;K;Aṣṭamī;2021-07-01 17:19;2021-07-02 18:10;2021-07-01 04:59;2021-07-02 04:59;;2021-07-02;2021-07-02 03:23;shuddha;;;
Vāman;K;Navamī;2021-07-02 18:10;2021-07-03 19:28;2021-07-02 04:59;2021-07-03 05:00;;2021-07-03;2021-07-03 03:24;shuddha;;;
Vāman;K;Daśamī;2021-07-03 19:28;2021-07-04 21:07;2021-07-03 05:00;2021-07-04 05:00;;2021-07-04;2021-07-04 03:24;shuddha;;;
Vāman;K;Ekādaśī;2021-07-04 21:07;2021-07-05 23:03;2021-07-04 05:00;2021-07-05 05:00;;2021-07-05;2021-07-05 03:24;shuddha;;;
Vāman;K;Dvādaśī;2021-07-05 23:03;2021-07-07 01:04;2021-07-05 05:00;2021-07-06 05:01;2021-07-05 18:23;2021-07-06;2021-07-06 03:25;shuddha;;;
Vāman;K;Trayodaśī;2021-07-07 01:04;2021-07-08 03:00;2021-07-07 05:01;2021-07-08 05:01;2021-07-07 18:23;2021-07-07;2021-07-07 03:25;shuddha;;;
Vāman;K;Chaturdaśī;2021-07-08 03:00;2021-07-09 04:43;2021-07-08 05:01;2021-07-09 05:02;;2021-07-08;2021-07-08 03:25;shuddha;;;
Vāman;K;Amāvasyā;2021-07-09 04:43;2021-07-10 06:03;2021-07-09 05:02;2021-07-10 05:02;;2021-07-09;2021-07-09 03:26;sampurna;;;
Vāman;G;Pratipad;2021-07-10 06:03;2021-07-11 06:58;2021-07-10 05:02;2021-07-11 05:02;;2021-07-11;2021-07-11 03:26;shuddha;;;
Vāman;G;Dvitīya;2021-07-11 06:58;2021-07-12 07:22;2021-07-11 05:02;2021-07-12 05:03;;2021-07-12;2021-07-12 03:27;shuddha;;;
Vāman;G;Tṛtīya;2021-07-12 07:22;2021-07-13 07:16;2021-07-12 05:03;2021-07-13 05:03;;2021-07-13;2021-07-13 03:27;shuddha;;;
Vāman;G;Chaturthī;2021-07-13 07:16;2021-07-14 06:39;2021-07-13 05:03;2021-07-14 05:03;;2021-07-14;2021-07-14 03:27;shuddha;;;
Vāman;G;Pañchamī;2021-07-14 06:39;2021-07-15 05:35;2021-07-14 05:03;2021-07-15 05:04;;2021-07-15;2021-07-15 03:28;shuddha;;;
Vāman;G;Śaṣṭhī;2021-07-15 05:35;2021-07-16 04:06;2021-07-15 05:04;2021-07-16 05:04;;2021-07-16;2021-07-16 03:28;kshaya;;;
Vāman;G;Saptamī;2021-07-16 04:06;2021-07-17 02:16;2021-07-16 05:04;2021-07-17 05:04;;2021-07-16;2021-07-16 03:28;viddha;;;
Vāman;G;Aṣṭamī;2021-07-17 02:16;2021-07-18 00:10;2021-07-17 05:04;2021-07-18 05:05;;2021-07-17;2021-07-17 03:28;shuddha;;;
