masa;paksha;tithi;start;end;start_sunrise;next_day_sunrise;sunset;date;arunoday;type;nakshatra_name;nakshatra_start;nakshatra_end
Trivikram;G;Navamī;2021-06-18 04:51;2021-06-19 03:00;2021-06-18 05:47;2021-06-19 05:48;2021-06-18 20:30;2021-06-18;2021-06-18 04:11;viddha;;;
Trivikram;G;Daśamī;2021-06-19 03:00;2021-06-20 00:54;2021-06-19 05:48;2021-06-20 05:48;2021-06-19 20:30;2021-06-19;2021-06-19 04:12;shuddha;;;
Trivikram;G;Ekādaśī;2021-06-20 00:54;2021-06-20 22:35;2021-06-20 05:48;2021-06-21 05:48;2021-06-20 20:30;2021-06-20;2021-06-20 04:12;shuddha;;;
Trivikram;G;Dvādaśī;2021-06-20 22:35;2021-06-21 20:09;2021-06-20 05:48;2021-06-21 05:48;2021-06-20 20:30;2021-06-21;2021-06-21 04:12;shuddha;;;
Trivikram;G;Trayodaśī;2021-06-21 20:09;2021-06-22 17:40;2021-06-21 05:48;2021-06-22 05:48;2021-06-21 20:30;2021-06-22;2021-06-22 04:12;shuddha;;;
Trivikram;G;Chaturdaśī;2021-06-22 17:40;2021-06-23 15:14;2021-06-22 05:48;2021-06-23 05:49;2021-06-22 20:30;2021-06-23;2021-06-23 04:13;shuddha;;;
Trivikram;G;Pūrṇimā;2021-06-23 15:14;2021-06-24 12:56;2021-06-23 05:49;2021-06-24 05:49;2021-06-23 20:31;2021-06-24;2021-06-24 04:13;shuddha;;;
Vāman;K;Pratipad;2021-06-24 12:56;2021-06-25 10:48;2021-06-24 05:49;2021-06-25 05:49;2021-06-24 20:31;2021-06-25;2021-06-25 04:13;shuddha;;;
Vāman;K;Dvitīya;2021-06-25 10:48;2021-06-26 08:57;2021-06-25 05:49;2021-06-26 05:50;2021-06-25 20:31;2021-06-26;2021-06-26 04:14;shuddha;;;
Vāman;K;Tṛtīya;2021-06-26 08:57;2021-06-27 07:26;2021-06-26 05:50;2021-06-27 05:50;2021-06-26 20:31;2021-06-27;2021-06-27 04:14;shuddha;;;
Vāman;K;Chaturthī;2021-06-27 07:26;2021-06-28 06:19;2021-06-27 05:50;2021-06-28 05:50;2021-06-27 20:31;2021-06-28;2021-06-28 04:14;shuddha;;;
Vāman;K;Pañchamī;2021-06-28 06:19;2021-06-29 05:38;2021-06-28 05:50;2021-06-29 05:51;2021-06-28 20:31;2021-06-29;2021-06-29 04:15;kshaya;;;
Vāman;K;Śaṣṭhī;2021-06-29 05:38;2021-06-30 05:28;2021-06-29 05:51;2021-06-30 05:51;2021-06-29 20:31;2021-06-29;2021-06-29 04:15;viddha;;;
Vāman;K;Saptamī;2021-06-30 05:28;2021-07-01 05:49;2021-06-30 05:51;2021-07-01 05:52;2021-06-30 20:31;2021-06-30;2021-06-30 04:15;viddha;;;
Vāman;K;Aṣṭamī;2021-07-01 05:49;2021-07-02 06:40;2021-07-01 05:52;2021-07-02 05:52;2021-07-01 20:31;2021-07-01;2021-07-01 04:16;sampurna;;;
Vāman;K;Navamī;2021-07-02 06:40;2021-07-03 07:58;2021-07-02 05:52;2021-07-03 05:53;2021-07-02 20:31;2021-07-03;2021-07-03 04:17;shuddha;;;
Vāman;K;Daśamī;2021-07-03 07:58;2021-07-04 09:37;2021-07-03 05:53;2021-07-04 05:53;2021-07-03 20:31;2021-07-04;2021-07-04 04:17;shuddha;;;
Vāman;K;Ekādaśī;2021-07-04 09:37;2021-07-05 11:33;2021-07-04 05:53;2021-07-05 05:54;2021-07-04 20:30;2021-07-05;2021-07-05 04:18;shuddha;;;
Vāman;K;Dvādaśī;2021-07-05 11:33;2021-07-06 13:34;2021-07-05 05:54;2021-07-06 05:54;2021-07-05 20:30;2021-07-06;2021-07-06 04:18;shuddha;;;
Vāman;K;Trayodaśī;2021-07-06 13:34;2021-07-07 15:30;2021-07-06 05:54;2021-07-07 05:55;2021-07-06 20:30;2021-07-07;2021-07-07 04:19;shuddha;;;
Vāman;K;Chaturdaśī;2021-07-07 15:30;2021-07-08 17:13;2021-07-07 05:55;2021-07-08 05:55;2021-07-07 20:30;2021-07-08;2021-07-08 04:19;shuddha;;;
Vāman;K;Amāvasyā;2021-07-08 17:13;2021-07-09 18:33;2021-07-08 05:55;2021-07-09 05:56;2021-07-08 20:29;2021-07-09;2021-07-09 04:20;shuddha;;;
