masa;paksha;tithi;start;end;start_sunrise;next_day_sunrise;sunset;date;arunoday;type;nakshatra_name;nakshatra_start;nakshatra_end
Trivikram;G;Navamī;2021-06-18 13:51;2021-06-19 12:00;2021-06-18 04:39;2021-06-19 04:39;2021-06-18 20:05;2021-06-19;2021-06-19 03:03;shuddha;;;
Trivikram;G;Daśamī;2021-06-19 12:00;2021-06-20 09:54;2021-06-19 04:39;2021-06-20 04:39;2021-06-19 20:05;2021-06-20;2021-06-20 03:03;shuddha;;;
Trivikram;G;Ekādaśī;2021-06-20 09:54;2021-06-21 07:35;2021-06-20 04:39;2021-06-21 04:39;2021-06-20 20:05;2021-06-21;2021-06-21 03:03;shuddha;;;
Trivikram;G;Dvādaśī;2021-06-21 07:35;2021-06-22 05:09;2021-06-21 04:39;2021-06-22 04:40;2021-06-21 20:06;2021-06-22;2021-06-22 03:04;shuddha;;;
Trivikram;G;Trayodaśī;2021-06-22 05:09;2021-06-23 02:40;2021-06-22 04:40;2021-06-23 04:40;2021-06-22 20:06;2021-06-23;2021-06-23 03:04;kshaya;;;
Trivikram;G;Chaturdaśī;2021-06-23 02:40;2021-06-24 00:14;2021-06-23 04:40;2021-06-24 04:40;2021-06-23 20:06;2021-06-23;2021-06-23 03:04;shuddha;;;
Trivikram;G;Pūrṇimā;2021-06-24 00:14;2021-06-24 21:56;2021-06-24 04:40;2021-06-25 04:40;2021-06-24 20:06;2021-06-24;2021-06-24 03:04;shuddha;;;
Vāman;K;Pratipad;2021-06-24 21:56;2021-06-25 19:48;2021-06-24 04:40;2021-06-25 04:40;2021-06-24 20:06;2021-06-25;2021-06-25 03:04;shuddha;;;
Vāman;K;Dvitīya;2021-06-25 19:48;2021-06-26 17:57;2021-06-25 04:40;2021-06-26 04:41;2021-06-25 20:06;2021-06-26;2021-06-26 03:05;shuddha;;;
Vāman;K;Tṛtīya;2021-06-26 17:57;2021-06-27 16:26;2021-06-26 04:41;2021-06-27 04:41;2021-06-26 20:06;2021-06-27;2021-06-27 03:05;shuddha;;;
Vāman;K;Chaturthī;2021-06-27 16:26;2021-06-28 15:19;2021-06-27 04:41;2021-06-28 04:42;2021-06-27 20:06;2021-06-28;2021-06-28 03:06;shuddha;;;
Vāman;K;Pañchamī;2021-06-28 15:19;2021-06-29 14:38;2021-06-28 04:42;2021-06-29 04:42;2021-06-28 20:06;2021-06-29;2021-06-29 03:06;shuddha;;;
